nombre,region,latitud,longitud,altura,codigo_parroquia,Latitude, Longitude, Elevation, HorasDisconfort
CUCHAENTZA, Oriente, -2.2, -77.8, 1029, 140162, -2.16,  -77.85,  1029.00,  4045\n
CUCHIL_(CUTCHIL), Sierra, -3.1, -78.8, 2840, 10951, -3.14,  -78.81,  2840.00,  5544\n
CUENCA, Sierra, -2.9, -79, 2557, 10150, -2.89,  -79.00,  2557.00,  5338\n
CUMANDA, Sierra, -2.2, -79.1, 742, 61050, -2.21,  -79.08,  742.00,  3652\n
CUMANDA_(CAB_EN_COLONIA_AGRICOLA_SEVILLA_DEL_ORO), Oriente, -1.6, -78.2, 1878, 140452, -1.59,  -78.19,  1878.00,  5370\n
CUMBARATZA, Oriente, -4, -78.9, 1122, 190151, -3.98,  -78.87,  1122.00,  3971\n
CUMBAYA, Sierra, -0.2, -78.4, 2351, 170157, -0.21,  -78.44,  2351.00,  4916\n
CUMBE, Sierra, -3.1, -79, 2886, 10152, -3.10,  -79.02,  2886.00,  5409\n
CUNCHIBAMBA, Sierra, -1.1, -78.6, 2670, 180167, -1.13,  -78.59,  2670.00,  5467\n
CURARAY, Oriente, -1.4, -76.7, 239, 160451, -1.35,  -76.69,  239.00,  2955\n
CURTINCAPA, Costa, -3.7, -79.5, 1174, 71151, -3.73,  -79.54,  1174.00,  3895\n
CUSUBAMBA, Sierra, -1.1, -78.7, 3815, 50552, -1.09,  -78.75,  3815.00,  6433\n
CUTUGLAHUA, Sierra, -0.4, -78.6, 3058, 170353, -0.37,  -78.57,  3058.00,  5545\n
CUYABENO, Oriente, -0.4, -75.6, 224, 210751, -0.36,  -75.63,  224.00,  2800\n
CUYUJA, Oriente, -0.4, -78.1, 3580, 150752, -0.42,  -78.06,  3580.00,  6199\n
DANIEL_CORDOVA_TORAL_(EL_ORIENTE), Sierra, -2.9, -78.7, 3030, 10352, -2.88,  -78.72,  3030.00,  5491\n
DAULE, Costa, -1.9, -80, 12, 90650, -1.90,  -79.96,  12.00,  2528\n
DAULE1, , 0.4, -80, 82, 80352, 0.40,  -79.97,  82.00,  2181\n
DAYUMA, Oriente, -0.7, -76.8, 294, 220151, -0.71,  -76.78,  294.00,  2933\n
DELEG, Sierra, -2.8, -78.9, 2877, 30650, -2.75,  -78.94,  2877.00,  5389\n
DIEZ_DE_AGOSTO, Oriente, -1.4, -77.9, 1000, 160154, -1.44,  -77.88,  1000.00,  3065\n
DOCTOR_MIGUEL_EGAS_CABEZAS_(PEGUCHE), Sierra, 0.3, -78.2, 2735, 100451, 0.25,  -78.23,  2735.00,  5162\n
DUCUR, Sierra, -2.5, -79.2, 1361, 30363, -2.47,  -79.17,  1361.00,  3124\n
DUG_DUG, Sierra, -2.7, -78.7, 2627, 10562, -2.72,  -78.73,  2627.00,  5215\n
DURENO, Oriente, 0, -76.7, 281, 210152, 0.01,  -76.69,  281.00,  2932\n
ECHEANDIA, Sierra, -1.5, -79.3, 702, 20450, -1.46,  -79.26,  702.00,  3557\n
ELOY_ALFARO, Costa, -0.4, -80.1, 137, 130355, -0.41,  -80.08,  137.00,  2026\n
ELOY_ALFARO_(DURAN), Costa, -2.2, -79.8, 4, 90750, -2.23,  -79.78,  4.00,  2533\n
EL_AIRO, Sierra, -4.5, -79.4, 2357, 110656, -4.48,  -79.38,  2357.00,  4993\n
EL_ALTAR, Sierra, -1.5, -78.4, 3662, 60951, -1.55,  -78.44,  3662.00,  6313\n
EL_ANEGADO_(CAB_EN_ELOY_ALFARO), Costa, -1.5, -80.5, 428, 130652, -1.50,  -80.53,  428.00,  3009\n
EL_ANGEL, Sierra, 0.6, -78, 3023, 40350, 0.64,  -77.97,  3023.00,  5478\n
EL_ARENAL, Sierra, -4, -80, 962, 111052, -3.98,  -79.98,  962.00,  3764\n
EL_CABO, Sierra, -2.8, -78.8, 2768, 10554, -2.84,  -78.80,  2768.00,  5325\n
EL_CARMELO_(EL_PUN), Sierra, 0.7, -77.6, 2987, 40151, 0.66,  -77.61,  2987.00,  5548\n
EL_CARMEN, Costa, -0.4, -79.5, 168, 130450, -0.39,  -79.53,  168.00,  2186\n
EL_CARMEN_DE_PIJILI, Sierra, -2.9, -79.6, 591, 11551, -2.92,  -79.56,  591.00,  3408\n
EL_CHACO, Oriente, -0.3, -77.8, 1541, 150450, -0.34,  -77.80,  1541.00,  5258\n
EL_CHAUPI, Sierra, -0.6, -78.7, 3618, 170354, -0.60,  -78.69,  3618.00,  6072\n
EL_CHICAL, Sierra, 1, -78.3, 1367, 40159, 1.00,  -78.26,  1367.00,  3687\n
EL_CHORRO, Oriente, -4.9, -79.1, 1204, 190252, -4.91,  -79.10,  1204.00,  4273\n
EL_CISNE, Sierra, -3.8, -79.5, 1911, 110153, -3.84,  -79.45,  1911.00,  3569\n
EL_CORAZON, Sierra, -1.1, -79, 2254, 50350, -1.14,  -79.03,  2254.00,  5728\n
EL_DORADO, Oriente, -0.5, -76.9, 307, 220154, -0.53,  -76.92,  307.00,  2986\n
EL_DORADO_DE_CASCALES, Oriente, 0.1, -77.2, 506, 210650, 0.15,  -77.25,  506.00,  2690\n
EL_EDEN, Oriente, -0.6, -76.2, 234, 220155, -0.57,  -76.19,  234.00,  2904\n
EL_ENO, Oriente, -0, -76.9, 322, 210155, -0.04,  -76.87,  322.00,  3013\n
EL_ESFUERZO, Sierra, -0.5, -79.2, 587, 230156, -0.46,  -79.21,  587.00,  3422\n
EL_GOALTAL, Sierra, 0.8, -78.1, 2442, 40351, 0.77,  -78.13,  2442.00,  5321\n
EL_GUABO, Costa, -3.2, -79.8, 13, 70650, -3.22,  -79.80,  13.00,  2306\n
EL_GUISME, Oriente, -3.6, -78.6, 950, 190651, -3.57,  -78.59,  950.00,  3718\n
EL_IDEAL, Oriente, -3.4, -78.7, 1438, 140258, -3.38,  -78.67,  1438.00,  4339\n
EL_INGENIO, Costa, -4.4, -79.4, 1809, 110655, -4.44,  -79.38,  1809.00,  4714\n
EL_INGENIO1, , -3.7, -79.9, 632, 70851, -3.73,  -79.95,  632.00,  3272\n
EL_LIMO_(MARIANA_DE_JESUS), Sierra, -4, -80.2, 779, 111053, -4.00,  -80.19,  779.00,  3567\n
EL_LUCERO, Sierra, -4.4, -79.5, 1539, 110252, -4.39,  -79.50,  1539.00,  4379\n
EL_PAN, Sierra, -2.8, -78.7, 2462, 11250, -2.78,  -78.67,  2462.00,  5180\n
EL_PANGUI, Oriente, -3.6, -78.6, 836, 190650, -3.63,  -78.60,  836.00,  3612\n
EL_PARAISO, Costa, -3.8, -80, 664, 71452, -3.80,  -80.02,  664.00,  3368\n
EL_PARAISO_DE_CELEN, Sierra, -3.6, -79.4, 2794, 111151, -3.60,  -79.35,  2794.00,  5373\n
EL_PIEDRERO, Costa, -2.4, -79.3, 321, 900451, -2.38,  -79.27,  321.00,  2847\n
EL_PLAYON_DE_SAN_FRANCISCO, Oriente, 0.5, -77.7, 3493, 210551, 0.53,  -77.67,  3493.00,  6143\n
EL_PORVENIR_DEL_CARMEN, Oriente, -4.5, -79, 2445, 190851, -4.48,  -79.02,  2445.00,  5439\n
